accident_index,year,location_easting_osgr,location_northing_osgr,longitude,latitude,urban_or_rural_area,lad2014_code,lad2014_name,road_class,road_classcat,cas_severity,cas_mode
2012230041312,2012,439959,250093,-1.417443990707397,52.14764785766602,2,E07000221,Stratford-on-Avon,Motorway,Motorway,Serious,car/taxi
2017430254240,2017,485814,243573,-.7490520000000001,52.08388,1,E06000042,Milton Keynes,Motorway,Motorway,Fatal,bus
2006330605112,2006,446390,293910,-1.317425012588501,52.54104614257813,2,E07000129,Blaby,Motorway,Motorway,Serious,motorcycle
200504CM05079,2005,358220,425750,-2.634716987609863,53.72646331787109,2,E07000126,South Ribble,Motorway,Motorway,Serious,car/taxi
2005230591078,2005,411010,272410,-1.839797019958496,52.34961700439453,2,E07000221,Stratford-on-Avon,Motorway,Motorway,Serious,car/taxi
2007230796526,2007,430290,286020,-1.555523991584778,52.47124862670898,2,E07000218,North Warwickshire,Motorway,Motorway,Serious,car/taxi
2007070428753,2007,352550,379130,-2.713571071624756,53.30696487426758,2,E06000050,Cheshire West and Chester,Motorway,Motorway,Serious,car/taxi
2017440250672,2017,457414,107842,-1.185483,50.867232,2,E07000087,Fareham,Motorway,Motorway,Serious,car/taxi
2016460124799,2016,560927,159650,.3093119859695435,51.31266784667969,2,E07000115,Tonbridge and Malling,Motorway,Motorway,Serious,heavy goods
20104100T1100,2010,510200,206530,-.4051479995250702,51.7465934753418,2,E07000240,St Albans,Motorway,Motorway,Serious,light goods
2014440139061,2014,448943,110442,-1.305521965026855,50.89133071899414,2,E07000086,Eastleigh,Motorway,Motorway,Serious,car/taxi
2009130445809,2009,429430,421280,-1.555843949317932,53.6871452331543,2,E08000036,Wakefield,Motorway,Motorway,Serious,motorcycle
200705AA21742,2007,332080,382770,-3.021509885787964,53.33744430541992,2,E08000015,Wirral,Motorway,Motorway,Serious,motorcycle
200643R195046,2006,499980,177410,-.5614339709281921,51.48675918579102,2,E06000040,Windsor and Maidenhead,Motorway,Motorway,Fatal,motorcycle
201306XJ79792,2013,391010,395870,-2.136872053146362,53.45949172973633,1,E08000008,Tameside,Motorway,Motorway,Serious,car/taxi
2010460185396,2010,555250,171350,.2314060032367706,51.41984939575195,2,E07000107,Dartford,Motorway,Motorway,Serious,car/taxi
2009460179796,2009,552880,168260,.1960159987211227,51.39273071289063,2,E07000111,Sevenoaks,Motorway,Motorway,Serious,bus
2011548718311,2011,392080,179600,-2.115545988082886,51.51521682739258,2,E06000054,Wiltshire,Motorway,Motorway,Serious,motorcycle
2009330907995,2009,447910,311230,-1.292508959770203,52.69660949707031,2,E07000132,Hinckley and Bosworth,Motorway,Motorway,Serious,car/taxi
2016440347685,2016,485850,157638,-.7681480050086975,51.31086730957031,1,E07000092,Rushmoor,Motorway,Motorway,Serious,car/taxi
200920Z003201,2009,401920,295070,-1.973124027252197,52.55344009399414,2,E08000028,Sandwell,Motorway,Motorway,Serious,car/taxi
201534TM19685,2015,479112,251051,-.8451210260391235,52.15208435058594,2,E07000155,South Northamptonshire,Motorway,Motorway,Serious,car/taxi
2009520904991,2009,323330,122060,-3.093866109848022,50.99275207519531,2,E07000190,Taunton Deane,Motorway,Motorway,Fatal,motorcycle
201543R213105,2015,494858,179559,-.6346150040626526,51.50701141357422,2,E06000039,Slough,Motorway,Motorway,Serious,car/taxi
201342I337311,2013,550834,236606,.1961729973554611,52.00735473632813,2,E07000077,Uttlesford,Motorway,Motorway,Serious,car/taxi
